#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|P13405|RB_MOUSE   -          sp|P06400|RB_HUMAN   -                  0 1808.2   8.5         0 1808.1   8.5   1.0   1   0   0   1   1   1   1 Retinoblastoma-associated protein OS=Mus musculus OX=10090 GN=Rb1 PE=1 SV=2
sp|Q64700|RBL2_MOUSE -          sp|P06400|RB_HUMAN   -                  0 1225.9  16.5    4e-258  858.9   0.2   4.0   2   2   1   3   3   3   3 Retinoblastoma-like protein 2 OS=Mus musculus OX=10090 GN=Rbl2 PE=1 SV=3
sp|Q64701|RBL1_MOUSE -          sp|P06400|RB_HUMAN   -                  0 1109.5   7.2  1.2e-219  731.6   0.4   4.0   3   1   0   3   3   3   3 Retinoblastoma-like protein 1 OS=Mus musculus OX=10090 GN=Rbl1 PE=1 SV=3
sp|Q3UAW9|BRF2_MOUSE -          sp|P06400|RB_HUMAN   -              0.073   10.9   0.1      0.12   10.2   0.1   1.2   1   0   0   1   1   1   0 Transcription factor IIIB 50 kDa subunit OS=Mus musculus OX=10090 GN=Brf2 PE=1 SV=1
#
# Program:         jackhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      queries/RB1_human.fasta
# Target file:     10090.faa
# Option settings: jackhmmer -N 5 -A hmmer_out/RB1_vs_10090.sto --tblout hmmer_out/RB1_vs_10090.tab --cpu 4 queries/RB1_human.fasta 10090.faa 
# Current dir:     /home/hp/rb1_project
# Date:            Fri Aug 28 16:27:37 2026
# [ok]
