#                                                                --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name         accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
# ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|Q64700|RBL2_MOUSE  -          sp|Q08999|RBL2_HUMAN -                  0 2287.9   0.0         0 2287.7   0.0   1.0   1   0   0   1   1   1   1 Retinoblastoma-like protein 2 OS=Mus musculus OX=10090 GN=Rbl2 PE=1 SV=3
sp|Q64701|RBL1_MOUSE  -          sp|Q08999|RBL2_HUMAN -                  0 1827.8   0.2         0 1563.7   0.0   2.0   2   0   0   2   2   2   2 Retinoblastoma-like protein 1 OS=Mus musculus OX=10090 GN=Rbl1 PE=1 SV=3
sp|P13405|RB_MOUSE    -          sp|Q08999|RBL2_HUMAN -                  0 1140.6  21.5  4.3e-247  822.8   2.1   3.0   1   1   2   3   3   3   3 Retinoblastoma-associated protein OS=Mus musculus OX=10090 GN=Rb1 PE=1 SV=2
sp|Q8R5A3|AB1IP_MOUSE -          sp|Q08999|RBL2_HUMAN -            4.6e-14   51.1   2.2   4.6e-14   51.1   2.2   4.4   3   1   3   6   6   6   1 Amyloid beta A4 precursor protein-binding family B member 1-interacting protein OS=Mus musculus OX=10090 GN=Apbb1ip PE=1 SV=2
sp|Q91YU6|LZTS2_MOUSE -          sp|Q08999|RBL2_HUMAN -               0.17    9.5   7.2    0.0082   13.9   1.4   1.6   2   0   0   2   2   2   0 Leucine zipper putative tumor suppressor 2 OS=Mus musculus OX=10090 GN=Lzts2 PE=1 SV=3
sp|Q64124|SCX_MOUSE   -          sp|Q08999|RBL2_HUMAN -               0.45    8.1   1.8      0.56    7.8   1.8   1.1   1   0   0   1   1   1   0 Basic helix-loop-helix transcription factor scleraxis OS=Mus musculus OX=10090 GN=Scx PE=1 SV=1
#
# Program:         jackhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      queries/RBL2_human.fasta
# Target file:     10090.faa
# Option settings: jackhmmer -N 5 -A hmmer_out/RBL2_vs_10090.sto --tblout hmmer_out/RBL2_vs_10090.tab --cpu 4 queries/RBL2_human.fasta 10090.faa 
# Current dir:     /home/hp/rb1_project
# Date:            Fri Aug 28 16:27:39 2026
# [ok]
