P28749	P28749	1.000	1068	0	0	1	1068	1	1068	0.000E+00	8290	0.000E+00	1.000E+00	1.001E+00
P28749	Q08999	0.498	1122	468	22	16	1068	44	1139	1.598E-87	3351	2.357E+01	7.739E-01	6.684E-01
P28749	P06400	0.228	1109	539	41	21	1067	57	910	4.081E-36	1254	1.880E+01	6.384E-01	6.588E-01
P28749	P62915	0.138	245	136	13	10	228	110	305	3.918E-02	58	1.441E+01	4.254E-01	4.548E-01
P28749	Q80UU9	0.139	43	36	1	1025	1067	3	44	9.918E+00	1	1.145E+01	5.765E-01	3.984E-01
Q80UU9	Q80UU9	1.000	217	0	0	1	217	1	217	3.833E-41	1542	0.000E+00	1.000E+00	1.005E+00
Q80UU9	P06400	0.089	56	51	0	1	56	868	923	6.355E+00	6	1.353E+01	8.386E-01	4.654E-01
Q80UU9	P28749	0.071	42	35	1	163	204	1004	1041	8.467E+00	1	8.087E+00	2.504E-01	2.700E-01
Q80UU9	Q08999	0.195	46	30	3	163	205	1074	1115	8.938E+00	1	1.029E+01	2.309E-01	3.203E-01
Q80UU9	P62915	0.188	69	47	4	124	189	145	207	9.909E+00	0	1.061E+01	3.303E-01	3.271E-01
Q08999	Q08999	1.000	1139	0	0	1	1139	1	1139	0.000E+00	8587	0.000E+00	1.000E+00	1.001E+00
Q08999	P28749	0.494	1124	470	22	44	1139	16	1068	2.471E-87	3413	2.332E+01	8.006E-01	6.696E-01
Q08999	P06400	0.213	1199	568	40	7	1138	21	910	9.637E-35	1156	1.759E+01	6.510E-01	5.902E-01
Q08999	P62915	0.087	263	152	12	44	301	116	295	2.076E-02	68	1.071E+01	4.564E-01	4.728E-01
P62915	P62915	1.000	316	0	0	1	316	1	316	1.175E-51	2471	9.894E-03	1.000E+00	1.003E+00
P62915	P28749	0.138	245	136	13	110	305	10	228	7.955E-03	68	1.441E+01	4.591E-01	4.548E-01
P62915	Q08999	0.098	316	183	15	66	295	2	301	7.955E-03	63	1.395E+01	4.592E-01	3.808E-01
P62915	P06400	0.120	300	181	16	46	309	1	253	4.791E-02	39	2.067E+01	3.827E-01	3.061E-01
P62915	Q80UU9	0.188	69	47	4	145	207	124	189	8.678E+00	1	1.061E+01	2.785E-01	3.271E-01
P06400	P06400	1.000	928	0	0	1	928	1	928	0.000E+00	6925	0.000E+00	1.000E+00	1.001E+00
P06400	P28749	0.230	1110	536	41	57	910	21	1067	5.670E-34	1293	1.946E+01	6.714E-01	6.544E-01
P06400	Q08999	0.217	1198	560	42	22	909	8	1137	1.090E-32	1173	1.848E+01	6.509E-01	5.993E-01
P06400	P62915	0.123	211	130	13	56	238	120	303	2.901E-01	36	1.278E+01	3.986E-01	4.012E-01
P06400	Q80UU9	0.127	55	42	1	862	916	1	49	9.317E+00	2	1.366E+01	6.779E-01	4.286E-01
