#                                                                         --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                  accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#          ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
tr|A0A8M1NAN6|A0A8M1NAN6_DANRE -          sp|P06400|RB_HUMAN   -                  0 1498.9   1.3         0 1498.7   1.3   1.0   1   0   0   1   1   1   1 Retinoblastoma-associated protein OS=Danio rerio OX=7955 GN=rb1 PE=4 SV=1
tr|A0AC58IA68|A0AC58IA68_DANRE -          sp|P06400|RB_HUMAN   -                  0 1470.5   0.7         0 1470.1   0.7   1.0   1   0   0   1   1   1   1 Retinoblastoma-associated protein OS=Danio rerio OX=7955 GN=rb1 PE=1 SV=1
tr|A0A8M3AZW2|A0A8M3AZW2_DANRE -          sp|P06400|RB_HUMAN   -                  0 1202.7   9.5  6.2e-241  803.8   0.0   3.0   3   0   0   3   3   3   3 Retinoblastoma-like protein 2 OS=Danio rerio OX=7955 GN=rbl2 PE=3 SV=2
tr|A0ACD6B5T3|A0ACD6B5T3_DANRE -          sp|P06400|RB_HUMAN   -                  0 1198.6   9.6  6.2e-241  803.8   0.0   3.0   3   0   0   3   3   3   3 Retinoblastoma-like protein 2 OS=Danio rerio OX=7955 GN=rbl2 PE=3 SV=1
tr|A0A8M1NIS0|A0A8M1NIS0_DANRE -          sp|P06400|RB_HUMAN   -                  0 1133.8   9.9  3.7e-238  794.6   0.2   3.1   3   0   0   3   3   3   3 Retinoblastoma-like protein 1 OS=Danio rerio OX=7955 GN=rbl1 PE=4 SV=1
tr|A0A8M9QAH9|A0A8M9QAH9_DANRE -          sp|P06400|RB_HUMAN   -                  0 1126.7  15.9  8.7e-238  793.4   0.2   3.0   2   1   1   3   3   3   3 Retinoblastoma-like protein 1 OS=Danio rerio OX=7955 GN=rbl1 PE=1 SV=1
tr|A0A8M2BA88|A0A8M2BA88_DANRE -          sp|P06400|RB_HUMAN   -           8.8e-296  985.3   8.0    8e-176  588.3   0.0   3.0   3   0   0   3   3   3   3 Retinoblastoma-like protein 2 isoform X3 OS=Danio rerio OX=7955 GN=rbl2 PE=4 SV=2
tr|A0A8M3B5J1|A0A8M3B5J1_DANRE -          sp|P06400|RB_HUMAN   -               0.45   10.0   0.1      0.77    9.2   0.1   1.3   1   0   0   1   1   1   0 Transducin-like enhancer protein 2a isoform X5 OS=Danio rerio OX=7955 GN=tle2a PE=1 SV=2
tr|A0AB32TCP7|A0AB32TCP7_DANRE -          sp|P06400|RB_HUMAN   -               0.48    9.9   0.2      0.73    9.3   0.2   1.2   1   0   0   1   1   1   0 Transducin-like enhancer protein 2a isoform X4 OS=Danio rerio OX=7955 GN=tle2a PE=1 SV=2
tr|A0AB32TGL0|A0AB32TGL0_DANRE -          sp|P06400|RB_HUMAN   -               0.52    9.8   0.1       0.8    9.2   0.1   1.2   1   0   0   1   1   1   0 Transducin-like enhancer protein 2a isoform X2 OS=Danio rerio OX=7955 GN=tle2a PE=1 SV=2
tr|A0A8M2BHT3|A0A8M2BHT3_DANRE -          sp|P06400|RB_HUMAN   -               0.63    9.5   0.1       1.1    8.7   0.1   1.3   1   0   0   1   1   1   0 Transducin-like enhancer protein 2a isoform X3 OS=Danio rerio OX=7955 GN=tle2a PE=1 SV=2
tr|A0AB32TBS6|A0AB32TBS6_DANRE -          sp|P06400|RB_HUMAN   -               0.73    9.3   0.1       1.1    8.7   0.1   1.2   1   0   0   1   1   1   0 Transducin-like enhancer protein 2a isoform X1 OS=Danio rerio OX=7955 GN=tle2a PE=1 SV=1
#
# Program:         jackhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      queries/RB1_human.fasta
# Target file:     7955.faa
# Option settings: jackhmmer -N 5 -o hmmer_out/RB1_vs_7955_v2.log --tblout hmmer_out/RB1_vs_7955_v2.tab --cpu 4 queries/RB1_human.fasta 7955.faa 
# Current dir:     /home/hp/rb1_project
# Date:            Fri Aug 28 16:52:56 2026
# [ok]
