#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|Q24472|RBF_DROME  -          RB_A                 PF01858.23   1.1e-48  163.5   3.5   1.1e-48  163.5   3.5   2.8   3   0   0   3   3   3   1 Retinoblastoma family protein OS=Drosophila melanogaster OX=7227 GN=Rbf PE=1 SV=2
sp|Q9VC99|UCK_DROME  -          RB_A                 PF01858.23     0.016   12.9   0.0      0.03   12.0   0.0   1.4   1   0   0   1   1   1   0 Uridine-cytidine kinase OS=Drosophila melanogaster OX=7227 GN=Uck PE=2 SV=1
sp|Q24472|RBF_DROME  -          RB_B                 PF01857.26   1.2e-41  139.9   2.1   1.2e-41  139.9   2.1   4.5   5   1   0   5   5   5   2 Retinoblastoma family protein OS=Drosophila melanogaster OX=7227 GN=Rbf PE=1 SV=2
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      pfam/RB_domains.hmm
# Target file:     7227.faa
# Option settings: hmmsearch --tblout hmmer_out/RB_domains_vs_7227.tab --cpu 4 pfam/RB_domains.hmm 7227.faa 
# Current dir:     /home/hp/rb1_project
# Date:            Fri Aug 28 16:32:07 2026
# [ok]
