#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|Q64700|RBL2_MOUSE -          RB_B                 PF01857.26   2.5e-62  209.0   0.4   3.9e-58  195.4   0.1   3.1   3   0   0   3   3   3   2 Retinoblastoma-like protein 2 OS=Mus musculus OX=10090 GN=Rbl2 PE=1 SV=3
sp|Q64701|RBL1_MOUSE -          RB_B                 PF01857.26   5.6e-56  188.4   1.2   1.7e-55  186.8   0.1   2.5   2   1   0   2   2   2   1 Retinoblastoma-like protein 1 OS=Mus musculus OX=10090 GN=Rbl1 PE=1 SV=3
sp|P13405|RB_MOUSE   -          RB_B                 PF01857.26   1.9e-32  112.2  15.1   1.5e-31  109.2   7.9   4.3   4   1   0   4   4   4   1 Retinoblastoma-associated protein OS=Mus musculus OX=10090 GN=Rb1 PE=1 SV=2
sp|P62915|TF2B_MOUSE -          RB_B                 PF01857.26     0.026   14.4   0.2     0.058   13.3   0.1   1.5   2   0   0   2   2   2   0 Transcription initiation factor IIB OS=Mus musculus OX=10090 GN=Gtf2b PE=1 SV=1
sp|Q8CFK2|TF3B_MOUSE -          RB_B                 PF01857.26     0.063   13.2   0.2      0.14   12.1   0.2   1.5   1   0   0   1   1   1   0 Transcription factor IIIB 90 kDa subunit OS=Mus musculus OX=10090 GN=Brf1 PE=1 SV=1
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      pfam/RB_B.hmm
# Target file:     10090.faa
# Option settings: hmmsearch --tblout hmmer_out/RB_B_vs_10090.tab --cpu 4 pfam/RB_B.hmm 10090.faa 
# Current dir:     /home/hp/rb1_project
# Date:            Fri Aug 28 16:39:55 2026
# [ok]
